interval,window,z_entry,z_exit,pair_category,leader,lagger,lag,base_correlation,max_correlation,sharpe_ratio,max_drawdown,max_drawdown_pct,total_return_pct,num_trades,win_rate,sortino_ratio,final_capital,volatility_annual
1d,30,1.5,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-23.811104607755095,-0.5192868139997355,-51.928681399973556,-50.7879575564244,434,0.12442396313364056,-19.291817043179186,49212.04244357561,1.689064105616276
1d,30,1.5,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-17.3016761167494,-0.6113591416761605,-61.13591416761604,-55.27758054884326,422,0.0995260663507109,-15.454975701616979,44722.41945115673,2.549019655806811
1d,30,1.5,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-29.566874698521854,-0.749159252307015,-74.9159252307015,-74.21062879816576,410,0.09268292682926829,-20.16875957138554,25789.371201834245,2.5774442724789486
1d,30,1.5,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-55.89765557783271,-0.6185091944190001,-61.85091944190001,-61.85091944190001,444,0.04954954954954955,-37.208902281318764,38149.08055809999,1.0032839782839935
1d,30,1.5,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-31.022256489740677,-0.6217122847291866,-62.17122847291866,-62.17122847291866,440,0.06363636363636363,-25.945200961618035,37828.77152708134,1.7900151029159996
1d,30,1.5,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-39.36229565815499,-0.6684246929171463,-66.84246929171464,-66.56078260352555,428,0.07476635514018691,-25.50239144695355,33439.21739647445,1.6011294452912814
1d,30,2.0,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-17.987470212941357,-0.3619065301441147,-36.190653014411474,-35.87681990918624,258,0.14728682170542637,-10.655874789311762,64123.18009081376,1.3965884079393607
1d,30,2.0,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-10.34991429886885,-0.4749570682460831,-47.495706824608305,-37.300414096238676,246,0.08130081300813008,-7.43781811219578,62699.58590376132,2.383449392483673
1d,30,2.0,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-17.49591654688601,-0.5671529915161928,-56.71529915161928,-53.989003075192755,262,0.12213740458015267,-9.822527932666432,46010.996924807245,2.4341556644509956
1d,30,2.0,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-35.1573497197768,-0.4427239830960318,-44.272398309603176,-44.272398309603176,264,0.06060606060606061,-17.93228476384004,55727.60169039682,0.9633333483447175
1d,30,2.0,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-17.49440820349322,-0.44464050515258946,-44.46405051525895,-41.32602349061422,262,0.06870229007633588,-12.18361142914515,58673.976509385786,1.7092749043803646
1d,30,2.0,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-28.18362421826034,-0.49677180192174936,-49.67718019217494,-47.869741030415604,272,0.09558823529411764,-13.75666992774907,52130.2589695844,1.3253772143921052
1d,30,2.5,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-8.459213023824413,-0.23683837640891667,-23.683837640891667,-16.182875633025716,156,0.1794871794871795,-4.447921467092003,83817.12436697428,1.1482823702775948
1d,30,2.5,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-2.6810686383426634,-0.307215242771702,-30.721524277170197,-9.935893457444589,130,0.09230769230769231,-1.6461706782036802,90064.10654255541,1.7445572256421773
1d,30,2.5,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-7.004173060007655,-0.32096059576838354,-32.09605957683836,-23.249271978440312,138,0.10144927536231885,-3.5918271899143503,76750.72802155968,1.9511961505690958
1d,30,2.5,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-26.076117080455177,-0.25963023093361903,-25.963023093361905,-25.963023093361905,158,0.06329113924050633,-11.990311473174792,74036.9769066381,0.6685141102599483
